period,mean premium,t-NW(63),% days > 0
1996–2003,0.0845,4.87,73%
2004–2007,0.0781,4.06,81%
2008–2012,0.1353,4.25,83%
2013–2019,0.0688,3.29,75%
2020–2024,0.0284,1.19,63%
