,A_vix,B_spectral,Full
f_vix,0.35,0.144,0.115
f_term_slope,0.337,0.134,0.113
f_regime_vix,0.313,0.129,
f_regime,,0.121,0.092
f_turb21,,0.121,0.104
f_dlam1_63,,0.112,0.078
f_rot21,,0.101,0.074
f_lam1,,0.097,0.079
f_k,,0.041,0.056
f_vrp,,,0.112
f_drho_imp_21,,,0.092
f_sig_rmt,,,0.084
