,v0,v1rmt,regonly
1996–2003,0.53,0.54,0.54
2004–2007,0.67,1.01,1.01
2008–2012,0.39,0.03,0.12
2013–2019,0.62,0.48,0.45
2020–2024,0.27,0.35,0.25
